category_list,main_sector
3D,Manufacturing
3D PRINTING,Manufacturing
3D TECHNOLOGY,Manufacturing
ACCOUNTING,"Social, Finance, Analytics, Advertising"
ACTIVE LIFESTYLE,Health
AD TARGETING,"Social, Finance, Analytics, Advertising"
ADVANCED MATERIALS,Manufacturing
ADVENTURE TRAVEL,Automotive & Sports
ADVERTISING,"Social, Finance, Analytics, Advertising"
ADVERTISING EXCHANGES,"Social, Finance, Analytics, Advertising"
ADVERTISING NETWORKS,"Social, Finance, Analytics, Advertising"
ADVERTISING PLATFORMS,"Social, Finance, Analytics, Advertising"
ADVICE,Others
AEROSPACE,Automotive & Sports
AGRICULTURE,Manufacturing
AIR POLLUTION CONTROL,Cleantech / Semiconductors
ALGORITHMS,Others
ALL MARKETS,Others
ALL STUDENTS,Others
ALTERNATIVE MEDICINE,Health
ALUMNI,Others
ANALYTICS,"Social, Finance, Analytics, Advertising"
ANDROID,"Social, Finance, Analytics, Advertising"
ANGELS,Others
ANIMAL FEED,Health
ANYTHING CAPITAL INTENSIVE,"Social, Finance, Analytics, Advertising"
APP DISCOVERY,"News, Search and Messaging"
APP MARKETING,"News, Search and Messaging"
APP STORES,"News, Search and Messaging"
APPLICATION PERFORMANCE MONITORING,"News, Search and Messaging"
APPLICATION PLATFORMS,"News, Search and Messaging"
APPS,"News, Search and Messaging"
AQUACULTURE,Cleantech / Semiconductors
ARCHITECTURE,Manufacturing
ARCHIVING,"News, Search and Messaging"
ART,Entertainment
ARTIFICIAL INTELLIGENCE,"Social, Finance, Analytics, Advertising"
ARTISTS GLOBALLY,Entertainment
ASSISITIVE TECHNOLOGY,Health
ASSISTED LIVING,Health
AUCTIONS,"Social, Finance, Analytics, Advertising"
AUDIO,Entertainment
AUDIOBOOKS,Entertainment
AUGMENTED REALITY,"Social, Finance, Analytics, Advertising"
AUTO,Automotive & Sports
AUTOMATED KIOSK,Automotive & Sports
AUTOMOTIVE,Automotive & Sports
B2B,"Social, Finance, Analytics, Advertising"
B2B EXPRESS DELIVERY,"Social, Finance, Analytics, Advertising"
BABIES,Health
BABY ACCESSORIES,Health
BABY BOOMERS,Health
BABY SAFETY,Health
BANKING,"Social, Finance, Analytics, Advertising"
BATTERIES,Manufacturing
BEAUTY,Health
BICYCLES,Automotive & Sports
BIG DATA,"Social, Finance, Analytics, Advertising"
BIG DATA ANALYTICS,"Social, Finance, Analytics, Advertising"
BILLING,"Social, Finance, Analytics, Advertising"
BIO-PHARM,Cleantech / Semiconductors
BIOFUELS,Cleantech / Semiconductors
BIOINFORMATICS,Cleantech / Semiconductors
BIOMASS POWER GENERATION,Cleantech / Semiconductors
BIOMETRICS,Cleantech / Semiconductors
BIOTECHNOLOGY,Cleantech / Semiconductors
BITCOIN,Cleantech / Semiconductors
BLOGGING PLATFORMS,"News, Search and Messaging"
BOATING INDUSTRY,Automotive & Sports
BPO SERVICES,"Social, Finance, Analytics, Advertising"
BRAND MARKETING,"Social, Finance, Analytics, Advertising"
BREWING,Entertainment
BRIDGING ONLINE AND OFFLINE,"Social, Finance, Analytics, Advertising"
BROADCASTING,"News, Search and Messaging"
BROKERS,"News, Search and Messaging"
BROWSER EXTENSIONS,"News, Search and Messaging"
BUILDING OWNERS,"News, Search and Messaging"
BUILDING PRODUCTS,Manufacturing
BUSINESS ANALYTICS,"Social, Finance, Analytics, Advertising"
BUSINESS DEVELOPMENT,"Social, Finance, Analytics, Advertising"
BUSINESS INFORMATION SYSTEMS,"Social, Finance, Analytics, Advertising"
BUSINESS INTELLIGENCE,"Social, Finance, Analytics, Advertising"
BUSINESS PRODUCTIVITY,"Social, Finance, Analytics, Advertising"
BUSINESS SERVICES,"Social, Finance, Analytics, Advertising"
BUSINESS TRAVELERS,Entertainment
CABLE,"News, Search and Messaging"
CAD,Automotive & Sports
CALL CENTER AUTOMATION,"News, Search and Messaging"
CANNABIS,Health
CARBON,Cleantech / Semiconductors
CAREER MANAGEMENT,"Social, Finance, Analytics, Advertising"
CAREER PLANNING,"Social, Finance, Analytics, Advertising"
CARS,Automotive & Sports
CASUAL GAMES,Entertainment
CELEBRITY,Entertainment
CERTIFICATION TEST,"News, Search and Messaging"
CHARITIES,"Social, Finance, Analytics, Advertising"
CHARITY,"Social, Finance, Analytics, Advertising"
CHARTER SCHOOLS,"Social, Finance, Analytics, Advertising"
CHAT,"News, Search and Messaging"
CHEMICALS,Cleantech / Semiconductors
CHILD CARE,Health
CHINA INTERNET,"News, Search and Messaging"
CIVIL ENGINEERS,Manufacturing
CLASSIFIEDS,"News, Search and Messaging"
CLEAN ENERGY,Cleantech / Semiconductors
CLEAN TECHNOLOGY,Cleantech / Semiconductors
CLEAN TECHNOLOGY IT,Cleantech / Semiconductors
CLINICAL TRIALS,Health
CLOUD-BASED MUSIC,"News, Search and Messaging"
CLOUD COMPUTING,"News, Search and Messaging"
CLOUD DATA SERVICES,"News, Search and Messaging"
CLOUD INFRASTRUCTURE,"News, Search and Messaging"
CLOUD MANAGEMENT,"News, Search and Messaging"
CLOUD SECURITY,"News, Search and Messaging"
COFFEE,Entertainment
COLLABORATION,"Social, Finance, Analytics, Advertising"
COLLABORATIVE CONSUMPTION,"Social, Finance, Analytics, Advertising"
COLLECTIBLES,Others
COLLEGE CAMPUSES,Others
COLLEGE RECRUITING,"Social, Finance, Analytics, Advertising"
COLLEGES,"Social, Finance, Analytics, Advertising"
COMICS,Entertainment
COMMERCIAL REAL ESTATE,"News, Search and Messaging"
COMMERCIAL SOLAR,Cleantech / Semiconductors
COMMODITIES,Cleantech / Semiconductors
COMMUNICATIONS HARDWARE,Manufacturing
COMMUNICATIONS INFRASTRUCTURE,Manufacturing
COMMUNITIES,"Social, Finance, Analytics, Advertising"
COMPARISON SHOPPING,"News, Search and Messaging"
COMPUTER VISION,Manufacturing
COMPUTERS,Manufacturing
CONCENTRATED SOLAR POWER,Cleantech / Semiconductors
CONCERTS,Entertainment
CONSOLE GAMING,Entertainment
CONSTRUCTION,Manufacturing
CONSULTING,"Social, Finance, Analytics, Advertising"
CONSUMER BEHAVIOR,"Social, Finance, Analytics, Advertising"
CONSUMER ELECTRONICS,Manufacturing
CONSUMER GOODS,Manufacturing
CONSUMER INTERNET,"Social, Finance, Analytics, Advertising"
CONSUMER LENDING,"Social, Finance, Analytics, Advertising"
