category_list,Automotive & Sports,Blanks,Cleantech / Semiconductors,Entertainment,Health,Manufacturing,"News, Search and Messaging",Others,"Social, Finance, Analytics, Advertising",main_sector
,0,1,0,0,0,0,0,0,0,Blanks
3D,0,0,0,0,0,1,0,0,0,Manufacturing
3D Printing,0,0,0,0,0,1,0,0,0,Manufacturing
3D Technology,0,0,0,0,0,1,0,0,0,"Social, Finance, Analytics, Advertising"
Accounting,0,0,0,0,0,0,0,0,1,Health
Active Lifestyle,0,0,0,0,1,0,0,0,0,"Social, Finance, Analytics, Advertising"
Ad Targeting,0,0,0,0,0,0,0,0,1,Manufacturing
Advanced Materials,0,0,0,0,0,1,0,0,0,Automotive & Sports
Adventure Travel,1,0,0,0,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Advertising,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Advertising Exchanges,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Advertising Networks,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Advertising Platforms,0,0,0,0,0,0,0,0,1,Others
Advice,0,0,0,0,0,0,0,1,0,Automotive & Sports
Aerospace,1,0,0,0,0,0,0,0,0,Manufacturing
Agriculture,0,0,0,0,0,1,0,0,0,Cleantech / Semiconductors
Air Pollution Control,0,0,1,0,0,0,0,0,0,Others
Algorithms,0,0,0,0,0,0,0,1,0,Others
All Markets,0,0,0,0,0,0,0,1,0,Others
All Students,0,0,0,0,0,0,0,1,0,Health
Alter0tive Medicine,0,0,0,0,1,0,0,0,0,Others
Alumni,0,0,0,0,0,0,0,1,0,"Social, Finance, Analytics, Advertising"
A0lytics,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Android,0,0,0,0,0,0,0,0,1,Others
Angels,0,0,0,0,0,0,0,1,0,Health
Animal Feed,0,0,0,0,1,0,0,0,0,"Social, Finance, Analytics, Advertising"
Anything Capital Intensive,0,0,0,0,0,0,0,0,1,"News, Search and Messaging"
App Discovery,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
App Marketing,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
App Stores,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Application Performance Monitoring,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Application Platforms,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Apps,0,0,0,0,0,0,1,0,0,Cleantech / Semiconductors
Aquaculture,0,0,1,0,0,0,0,0,0,Manufacturing
Architecture,0,0,0,0,0,1,0,0,0,"News, Search and Messaging"
Archiving,0,0,0,0,0,0,1,0,0,Entertainment
Art,0,0,0,1,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Artificial Intelligence,0,0,0,0,0,0,0,0,1,Entertainment
Artists Globally,0,0,0,1,0,0,0,0,0,Health
Assisitive Technology,0,0,0,0,1,0,0,0,0,Health
Assisted Living,0,0,0,0,1,0,0,0,0,"Social, Finance, Analytics, Advertising"
Auctions,0,0,0,0,0,0,0,0,1,Entertainment
Audio,0,0,0,1,0,0,0,0,0,Entertainment
Audiobooks,0,0,0,1,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Augmented Reality,0,0,0,0,0,0,0,0,1,Automotive & Sports
Auto,1,0,0,0,0,0,0,0,0,Automotive & Sports
Automated Kiosk,1,0,0,0,0,0,0,0,0,Automotive & Sports
Automotive,1,0,0,0,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
B2B,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
B2B Express Delivery,0,0,0,0,0,0,0,0,1,Health
Babies,0,0,0,0,1,0,0,0,0,Health
Baby Accessories,0,0,0,0,1,0,0,0,0,Health
Baby Boomers,0,0,0,0,1,0,0,0,0,Health
Baby Safety,0,0,0,0,1,0,0,0,0,"Social, Finance, Analytics, Advertising"
Banking,0,0,0,0,0,0,0,0,1,Manufacturing
Batteries,0,0,0,0,0,1,0,0,0,Health
Beauty,0,0,0,0,1,0,0,0,0,Automotive & Sports
Bicycles,1,0,0,0,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Big Data,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Big Data A0lytics,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Billing,0,0,0,0,0,0,0,0,1,Cleantech / Semiconductors
Bio-Pharm,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Biofuels,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Bioinformatics,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Biomass Power Generation,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Biometrics,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Biotechnology,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Bitcoin,0,0,1,0,0,0,0,0,0,"News, Search and Messaging"
Blogging Platforms,0,0,0,0,0,0,1,0,0,Automotive & Sports
Boating Industry,1,0,0,0,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
BPO Services,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Brand Marketing,0,0,0,0,0,0,0,0,1,Entertainment
Brewing,0,0,0,1,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Bridging Online and Offline,0,0,0,0,0,0,0,0,1,"News, Search and Messaging"
Broadcasting,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Brokers,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Browser Extensions,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Building Owners,0,0,0,0,0,0,1,0,0,Manufacturing
Building Products,0,0,0,0,0,1,0,0,0,"Social, Finance, Analytics, Advertising"
Business A0lytics,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Business Development,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Business Information Systems,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Business Intelligence,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Business Productivity,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Business Services,0,0,0,0,0,0,0,0,1,Entertainment
Business Travelers,0,0,0,1,0,0,0,0,0,"News, Search and Messaging"
Cable,0,0,0,0,0,0,1,0,0,Automotive & Sports
CAD,1,0,0,0,0,0,0,0,0,"News, Search and Messaging"
Call Center Automation,0,0,0,0,0,0,1,0,0,Health
Can0bis,0,0,0,0,1,0,0,0,0,Cleantech / Semiconductors
Carbon,0,0,1,0,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Career Ma0gement,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Career Planning,0,0,0,0,0,0,0,0,1,Automotive & Sports
Cars,1,0,0,0,0,0,0,0,0,Entertainment
Casual Games,0,0,0,1,0,0,0,0,0,Entertainment
Celebrity,0,0,0,1,0,0,0,0,0,"News, Search and Messaging"
Certification Test,0,0,0,0,0,0,1,0,0,"Social, Finance, Analytics, Advertising"
